ticker,name,sector,market,index_
9064.T,ヤマトホールディングス,,JP,Nikkei225
9147.T,NIPPON EXPRESSホールディングス,,JP,Nikkei225
9101.T,日本郵船,,JP,Nikkei225
9104.T,商船三井,,JP,Nikkei225
9107.T,川崎汽船,,JP,Nikkei225
9201.T,日本航空,,JP,Nikkei225
9202.T,ANAホールディングス,,JP,Nikkei225
9432.T,NTT,,JP,Nikkei225
9433.T,KDDI,,JP,Nikkei225
9434.T,ソフトバンク,,JP,Nikkei225
9984.T,ソフトバンクグループ,,JP,Nikkei225
9501.T,東京電力ホールディングス,,JP,Nikkei225
9502.T,中部電力,,JP,Nikkei225
9503.T,関西電力,,JP,Nikkei225
9531.T,東京ガス,,JP,Nikkei225
9532.T,大阪ガス,,JP,Nikkei225
2413.T,エムスリー,,JP,Nikkei225
2432.T,ディー・エヌ・エー,,JP,Nikkei225
3659.T,ネクソン,,JP,Nikkei225
3697.T,SHIFT,,JP,Nikkei225
4307.T,野村総合研究所,,JP,Nikkei225
4324.T,電通グループ,,JP,Nikkei225
4385.T,メルカリ,,JP,Nikkei225
4661.T,オリエンタルランド,,JP,Nikkei225
4689.T,LINEヤフー,,JP,Nikkei225
4704.T,トレンドマイクロ,,JP,Nikkei225
4751.T,サイバーエージェント,,JP,Nikkei225
4755.T,楽天,,JP,Nikkei225
6098.T,リクルートホールディングス,,JP,Nikkei225
6178.T,日本郵政,,JP,Nikkei225
6532.T,ベイカレント,,JP,Nikkei225
7974.T,任天堂,,JP,Nikkei225
9602.T,東宝,,JP,Nikkei225
9735.T,セコム,,JP,Nikkei225
9766.T,コナミグループ,,JP,Nikkei225
MMM,3M,Industrials,US,S&P500
AOS,A. O. Smith,Industrials,US,S&P500
ABT,Abbott Laboratories,Health Care,US,S&P500
ABBV,AbbVie,Health Care,US,S&P500
ACN,Accenture,Information Technology,US,S&P500
ADBE,Adobe Inc.,Information Technology,US,S&P500
AMD,Advanced Micro Devices,Information Technology,US,S&P500
AES,AES Corporation,Utilities,US,S&P500
AFL,Aflac,Financials,US,S&P500
A,Agilent Technologies,Health Care,US,S&P500
APD,Air Products,Materials,US,S&P500
ABNB,Airbnb,Consumer Discretionary,US,S&P500
AKAM,Akamai Technologies,Information Technology,US,S&P500
ALB,Albemarle Corporation,Materials,US,S&P500
ARE,Alexandria Real Estate Equities,Real Estate,US,S&P500
ALGN,Align Technology,Health Care,US,S&P500
ALLE,Allegion,Industrials,US,S&P500
LNT,Alliant Energy,Utilities,US,S&P500
ALL,Allstate,Financials,US,S&P500
GOOGL,Alphabet Inc. (Class A),Communication Services,US,S&P500
GOOG,Alphabet Inc. (Class C),Communication Services,US,S&P500
MO,Altria,Consumer Staples,US,S&P500
AMZN,Amazon,Consumer Discretionary,US,S&P500
AMCR,Amcor,Materials,US,S&P500
AEE,Ameren,Utilities,US,S&P500
AEP,American Electric Power,Utilities,US,S&P500
AXP,American Express,Financials,US,S&P500
AIG,American International Group,Financials,US,S&P500
AMT,American Tower,Real Estate,US,S&P500
AWK,American Water Works,Utilities,US,S&P500
AMP,Ameriprise Financial,Financials,US,S&P500
AME,Ametek,Industrials,US,S&P500
AMGN,Amgen,Health Care,US,S&P500
APH,Amphenol,Information Technology,US,S&P500
ADI,Analog Devices,Information Technology,US,S&P500
AON,Aon plc,Financials,US,S&P500
APA,APA Corporation,Energy,US,S&P500
APO,Apollo Global Management,Financials,US,S&P500
AAPL,Apple Inc.,Information Technology,US,S&P500
AMAT,Applied Materials,Information Technology,US,S&P500
APP,AppLovin,Information Technology,US,S&P500
APTV,Aptiv,Consumer Discretionary,US,S&P500
ACGL,Arch Capital Group,Financials,US,S&P500
ADM,Archer Daniels Midland,Consumer Staples,US,S&P500
ARES,Ares Management,Financials,US,S&P500
ANET,Arista Networks,Information Technology,US,S&P500
AJG,Arthur J. Gallagher & Co.,Financials,US,S&P500
AIZ,Assurant,Financials,US,S&P500
T,AT&T,Communication Services,US,S&P500
ATO,Atmos Energy,Utilities,US,S&P500
ADSK,Autodesk,Information Technology,US,S&P500
ADP,Automatic Data Processing,Industrials,US,S&P500
AZO,AutoZone,Consumer Discretionary,US,S&P500
AVB,AvalonBay Communities,Real Estate,US,S&P500
AVY,Avery Dennison,Materials,US,S&P500
AXON,Axon Enterprise,Industrials,US,S&P500
BKR,Baker Hughes,Energy,US,S&P500
BALL,Ball Corporation,Materials,US,S&P500
BAC,Bank of America,Financials,US,S&P500
BAX,Baxter International,Health Care,US,S&P500
BDX,Becton Dickinson,Health Care,US,S&P500
BRK-B,Berkshire Hathaway,Financials,US,S&P500
BBY,Best Buy,Consumer Discretionary,US,S&P500
TECH,Bio-Techne,Health Care,US,S&P500
BIIB,Biogen,Health Care,US,S&P500
BLK,BlackRock,Financials,US,S&P500
BX,Blackstone Inc.,Financials,US,S&P500
XYZ,"Block, Inc.",Financials,US,S&P500
BNY,BNY Mellon,Financials,US,S&P500
BA,Boeing,Industrials,US,S&P500
